Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,6.850000,6.920000,6.350000,6.370000,6.370000,633500
2022-04-06,6.300000,6.330000,5.820000,6.230000,6.230000,2129400
2022-04-07,6.200000,6.202000,5.650000,5.870000,5.870000,2468600
2022-04-08,5.840000,5.840000,5.350000,5.410000,5.410000,1933500
2022-04-11,5.740000,5.992000,5.320000,5.710000,5.710000,2923300
2022-04-12,6.000000,6.030000,5.470000,5.560000,5.560000,1505600
2022-04-13,5.690000,5.770000,5.430000,5.730000,5.730000,1559000
2022-04-14,5.750000,5.800000,5.370000,5.430000,5.430000,1724800
2022-04-18,5.320000,5.365000,5.010000,5.220000,5.220000,1861400
2022-04-19,5.230000,5.330000,5.010000,5.260000,5.260000,1593800
2022-04-20,5.270000,5.270000,4.760000,4.890000,4.890000,1739600
2022-04-21,4.930000,4.930000,4.185000,4.380000,4.380000,2444400
2022-04-22,4.860000,5.330000,4.630000,4.810000,4.810000,6916700
2022-04-25,4.690000,5.165000,4.621000,4.850000,4.850000,4301500
2022-04-26,4.850000,5.100000,4.710000,5.020000,5.020000,2871500
2022-04-27,5.130000,5.820000,5.105000,5.790000,5.790000,5292400
2022-04-28,5.820000,6.030000,5.510000,6.000000,6.000000,3324500
2022-04-29,6.300000,6.495000,5.905000,6.240000,6.240000,4512800
2022-05-02,6.140000,6.580000,6.095000,6.260000,6.260000,2293800
2022-05-03,6.270000,6.620000,6.170000,6.310000,6.310000,2435800
2022-05-04,6.200000,6.470000,5.940000,6.460000,6.460000,1770700
2022-05-05,6.170000,6.350000,6.000000,6.320000,6.320000,2241500
2022-05-06,6.280000,6.320000,6.085000,6.180000,6.180000,4646600
2022-05-09,5.980000,6.180000,5.560000,5.740000,5.740000,1773500
2022-05-10,5.950000,6.170000,5.180000,5.960000,5.960000,3272200
2022-05-11,6.030000,6.330000,5.705000,5.880000,5.880000,2859500
2022-05-12,5.800000,6.150000,5.545000,6.000000,6.000000,2537900
2022-05-13,6.090000,6.830000,6.010000,6.600000,6.600000,4559000
2022-05-16,6.580000,6.810000,6.190000,6.280000,6.280000,1935600
2022-05-17,6.750000,7.010000,6.375000,6.750000,6.750000,3945000
2022-05-18,6.660000,6.920000,6.190000,6.330000,6.330000,3487600
2022-05-19,6.270000,6.950000,6.270000,6.620000,6.620000,2593300
2022-05-20,6.700000,6.770000,6.150000,6.450000,6.450000,2268800
2022-05-23,6.565000,6.565000,6.000000,6.220000,6.220000,2439500
2022-05-24,6.020000,6.060000,5.520000,5.700000,5.700000,2618100
2022-05-25,5.780000,6.210000,5.495000,6.200000,6.200000,2336000
2022-05-26,6.600000,7.160000,6.300000,7.120000,7.120000,2420900
