Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,268.980011,270.589996,263.959991,264.529999,259.938568,1221300
2022-04-06,262.420013,263.059998,259.809998,261.489990,256.951294,1286200
2022-04-07,261.239990,262.239990,257.480011,261.040009,256.509094,1712500
2022-04-08,260.839996,263.279999,259.619995,260.910004,256.381378,1489700
2022-04-11,259.730011,263.130005,259.440002,259.619995,255.113770,2394000
2022-04-12,261.799988,264.429993,258.570007,259.250000,254.750198,1734200
2022-04-13,259.739990,263.850006,259.679993,263.489990,258.916565,1300700
2022-04-14,263.670013,265.459991,261.899994,261.940002,257.393494,2454100
2022-04-18,261.450012,262.809998,260.190002,261.510010,256.970947,1266300
2022-04-19,261.779999,267.750000,261.779999,267.399994,262.758698,1067900
2022-04-20,269.070007,270.989990,268.459991,269.369995,264.694580,1081500
2022-04-21,271.739990,272.230011,263.779999,264.549988,259.958191,2600600
2022-04-22,263.410004,263.410004,257.339996,257.399994,252.932281,1624000
2022-04-25,255.199997,259.160004,252.110001,258.880005,254.386597,1877300
2022-04-26,257.040009,257.350006,251.279999,251.300003,246.938171,2312800
2022-04-27,251.610001,254.509995,249.960007,251.539993,247.174011,2774700
2022-04-28,254.059998,257.269989,249.419998,256.239990,251.792435,1910200
2022-04-29,255.380005,257.679993,248.889999,249.270004,244.943420,2028700
2022-05-02,249.360001,252.179993,245.289993,250.720001,246.368256,2849300
2022-05-03,250.759995,254.490005,250.199997,253.250000,248.854340,1555600
2022-05-04,253.750000,260.529999,250.869995,260.290009,255.772141,1698100
2022-05-05,257.880005,257.880005,248.190002,250.690002,246.338776,1671200
2022-05-06,249.229996,249.970001,244.080002,247.360001,243.066559,2023200
2022-05-09,243.919998,245.070007,238.000000,238.990005,234.841858,2959200
2022-05-10,241.809998,243.220001,234.000000,238.250000,234.114700,3509800
2022-05-11,238.360001,243.089996,233.839996,234.139999,230.076019,2589900
2022-05-12,232.990005,238.070007,231.949997,236.440002,232.336105,2682100
2022-05-13,239.240005,244.229996,239.240005,242.610001,238.399017,1480600
2022-05-16,241.759995,243.199997,239.350006,241.270004,237.082260,1387700
2022-05-17,245.160004,248.529999,243.539993,248.529999,244.216248,1430300
2022-05-18,245.649994,245.850006,238.110001,238.970001,234.822205,1766300
2022-05-19,236.960007,241.580002,236.759995,238.710007,234.566696,1674800
2022-05-20,241.070007,241.410004,232.559998,238.089996,233.957458,1658500
2022-05-23,240.300003,241.779999,237.289993,240.630005,236.453369,1261900
2022-05-24,238.550003,239.119995,233.429993,237.660004,233.534927,1633800
2022-05-25,236.789993,243.330002,236.690002,242.270004,238.064941,1298500
2022-05-26,243.820007,248.990005,243.809998,247.910004,243.607025,1184200
2022-05-27,249.009995,253.690002,248.889999,253.639999,249.237564,1493900
2022-05-31,252.509995,252.970001,249.509995,251.179993,246.820267,2296400
2022-06-01,252.330002,253.039993,245.919998,249.039993,244.717407,1279400
2022-06-02,249.669998,254.770004,248.929993,254.720001,250.298828,1190500
2022-06-03,252.679993,253.009995,250.940002,251.809998,247.439331,1044000
2022-06-06,254.169998,254.770004,252.449997,253.279999,248.883820,1065500
2022-06-07,251.339996,256.570007,250.669998,256.559998,252.106873,1091900
2022-06-08,255.250000,255.479996,251.050003,251.809998,247.439331,1098100
2022-06-09,249.990005,250.440002,245.809998,245.830002,242.323364,945200
2022-06-10,241.940002,242.919998,238.929993,239.330002,235.916077,1333100
2022-06-13,233.300003,234.169998,227.500000,228.460007,225.201157,2052100
2022-06-14,229.259995,230.070007,225.350006,227.619995,224.373108,3290500
2022-06-15,229.669998,233.190002,226.500000,230.300003,227.014877,2105700
2022-06-16,225.179993,225.479996,218.000000,219.070007,215.945084,3184900
2022-06-17,220.190002,223.289993,218.729996,221.160004,218.005280,2064400
2022-06-21,224.649994,226.149994,222.860001,224.169998,220.972336,1450400
2022-06-22,221.039993,224.960007,220.559998,223.360001,220.173874,1500300
2022-06-23,224.080002,225.130005,221.449997,224.759995,221.553909,1570600
2022-06-24,226.850006,232.740005,226.360001,232.679993,229.360931,1301700
2022-06-27,233.550003,235.009995,231.470001,233.580002,230.248108,1699300
2022-06-28,234.910004,236.809998,230.110001,230.149994,226.867020,1102900
2022-06-29,230.339996,230.389999,226.610001,228.350006,225.092712,1318500
2022-06-30,225.350006,228.839996,223.160004,226.229996,223.002945,3323600
2022-07-01,225.699997,229.309998,224.050003,229.050003,225.782730,1153200
2022-07-05,225.600006,228.809998,222.149994,228.740005,225.477158,1793900
2022-07-06,228.470001,229.889999,224.830002,227.380005,224.136551,1132000
2022-07-07,229.119995,232.720001,228.990005,232.229996,228.917358,1179400
2022-07-08,231.770004,233.259995,229.699997,231.460007,228.158356,991000
2022-07-11,230.130005,230.979996,228.460007,228.839996,225.575699,947900
2022-07-12,228.070007,231.240005,227.259995,228.350006,225.092712,1012000
2022-07-13,225.580002,228.979996,224.490005,227.770004,224.520996,1288900
2022-07-14,224.190002,225.889999,222.330002,225.529999,222.312927,1144000
2022-07-15,228.160004,229.940002,225.649994,229.869995,226.591019,1608100
2022-07-18,232.190002,233.229996,228.820007,229.360001,226.088303,850600
2022-07-19,232.169998,237.100006,231.789993,236.869995,233.491150,1020700
2022-07-20,236.789993,239.889999,235.899994,239.389999,235.975235,1210600
2022-07-21,238.630005,241.289993,237.169998,241.289993,237.848114,1018400
2022-07-22,242.050003,242.880005,237.580002,239.149994,235.738632,831200
2022-07-25,239.899994,240.880005,238.130005,240.580002,237.148239,2199500
2022-07-26,239.860001,240.419998,238.369995,239.279999,235.866791,864600
2022-07-27,240.470001,244.699997,239.899994,243.750000,240.273026,911800
2022-07-28,245.059998,247.770004,242.339996,247.550003,244.018845,866400
2022-07-29,248.130005,251.679993,247.350006,250.929993,247.350601,1393200
2022-08-01,249.559998,251.919998,247.899994,250.869995,247.291473,1474300
2022-08-02,249.830002,251.130005,247.639999,248.399994,244.856689,1011400
2022-08-03,249.779999,251.309998,248.309998,250.520004,246.946472,1165400
2022-08-04,250.399994,250.539993,248.520004,248.630005,245.083420,620300
2022-08-05,246.309998,250.509995,246.169998,250.059998,246.493011,800000
2022-08-08,251.440002,254.160004,251.169998,251.699997,248.109634,691900
2022-08-09,251.000000,251.369995,248.679993,249.539993,245.980438,723500
2022-08-10,253.660004,256.119995,253.559998,255.710007,252.062439,809100
2022-08-11,257.869995,260.660004,256.980011,257.230011,253.560760,986600
2022-08-12,258.390015,261.260010,257.549988,261.260010,257.533264,789400
2022-08-15,259.320007,262.019989,258.980011,261.589996,257.858551,1101900
2022-08-16,261.000000,264.410004,261.000000,263.279999,259.524445,917900
2022-08-17,260.700012,261.369995,258.100006,259.720001,256.015259,1169700
2022-08-18,260.440002,262.190002,259.910004,261.880005,258.144409,739000
2022-08-19,259.790009,260.079987,256.809998,257.579987,253.905762,624600
2022-08-22,254.210007,254.279999,251.529999,252.080002,248.484207,831600
2022-08-23,252.350006,254.729996,251.520004,252.050003,248.454636,959300
2022-08-24,251.869995,254.059998,251.229996,253.240005,249.627655,615300
2022-08-25,254.250000,257.540009,253.960007,257.500000,253.826889,708000
2022-08-26,257.750000,257.779999,249.770004,249.779999,246.217010,846800
2022-08-29,247.600006,250.300003,247.080002,248.139999,244.600418,788100
2022-08-30,248.910004,249.089996,243.770004,244.759995,241.268616,1066300
2022-08-31,245.220001,245.949997,242.669998,242.979996,239.514008,840200
2022-09-01,241.199997,241.240005,237.889999,241.080002,237.641129,1053700
2022-09-02,243.830002,244.639999,238.300003,239.309998,235.896362,902000
2022-09-06,240.039993,240.320007,236.100006,237.809998,234.417755,864200
2022-09-07,237.380005,243.649994,237.240005,243.220001,239.750610,657200
2022-09-08,241.550003,245.570007,240.179993,245.539993,242.037491,1034200
2022-09-09,247.270004,250.339996,247.270004,249.919998,246.355011,950000
2022-09-12,251.440002,253.740005,250.940002,252.380005,248.779922,1154000
2022-09-13,246.369995,247.479996,242.240005,242.940002,239.474594,845400
2022-09-14,243.509995,243.520004,240.250000,242.990005,239.523880,768800
2022-09-15,241.869995,245.289993,240.490005,241.539993,238.094559,1100600
2022-09-16,238.509995,239.089996,236.000000,238.059998,234.664200,1533800
