Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,67.000000,73.000000,64.000000,66.000000,63.449692,29603
2022-04-06,64.000000,64.199997,58.400002,61.799999,59.411983,16522
2022-04-07,58.000000,60.000000,56.099998,59.599998,57.296993,14950
2022-04-08,57.400002,59.400002,57.299999,57.500000,55.278141,10605
2022-04-11,57.400002,58.000000,55.799999,56.000000,53.836102,11181
2022-04-12,58.000000,71.000000,56.000000,65.500000,62.969013,34180
2022-04-13,65.000000,65.000000,56.400002,62.299999,59.892662,15902
2022-04-14,61.000000,68.000000,60.000000,62.500000,60.084938,20470
2022-04-18,63.000000,67.500000,61.400002,63.599998,61.142426,22185
2022-04-19,64.000000,65.900002,60.900002,64.500000,62.007652,9664
2022-04-20,65.000000,68.900002,64.000000,66.000000,63.449692,12308
2022-04-21,66.900002,72.000000,62.000000,62.500000,60.084938,21006
2022-04-22,62.000000,64.500000,61.799999,63.099998,60.661747,4651
2022-04-25,61.099998,61.900002,57.599998,58.099998,55.854958,8631
2022-04-26,58.000000,61.000000,55.000000,59.799999,57.489265,7820
2022-04-27,60.000000,61.599998,58.500000,59.900002,57.585403,4079
2022-04-28,61.000000,62.799999,60.099998,62.000000,59.604256,7753
2022-04-29,62.000000,62.500000,58.000000,58.200001,55.951092,3593
2022-05-02,58.200001,60.000000,54.099998,55.700001,53.547695,5445
2022-05-03,58.000000,58.000000,55.000000,56.299999,54.124508,3308
2022-05-04,58.000000,62.299999,55.000000,59.599998,57.296993,4477
2022-05-05,60.799999,62.000000,58.000000,59.799999,57.489265,4945
2022-05-06,59.900002,59.900002,55.400002,58.400002,56.143368,3261
2022-05-09,55.599998,57.000000,52.000000,56.000000,53.836102,6592
2022-05-10,54.000000,56.000000,53.099998,54.500000,52.394066,4452
2022-05-11,52.000000,54.500000,52.000000,53.599998,51.528839,5369
2022-05-12,52.000000,55.599998,50.000000,53.400002,51.336571,5094
2022-05-13,54.000000,56.900002,51.099998,55.500000,53.355423,4928
2022-05-16,54.200001,60.000000,53.099998,56.700001,54.509056,5169
2022-05-17,56.700001,65.000000,56.700001,62.599998,60.181068,8166
2022-05-18,62.599998,63.000000,58.500000,58.500000,56.239498,2800
2022-05-19,62.000000,62.000000,56.500000,59.299999,57.008587,2753
2022-05-20,59.500000,60.000000,53.000000,54.799999,52.682472,5913
2022-05-23,55.000000,59.200001,54.900002,57.500000,55.278141,3964
2022-05-24,56.000000,57.000000,53.200001,55.000000,52.874744,4867
2022-05-25,58.900002,58.900002,53.099998,56.299999,54.124508,3196
2022-05-26,57.000000,61.000000,56.299999,59.000000,56.720177,3378
2022-05-27,60.000000,63.000000,58.400002,60.500000,58.162220,7143
2022-05-31,62.500000,64.000000,60.000000,61.500000,59.123577,6044
2022-06-01,58.000000,61.500000,57.000000,58.500000,56.239498,3357
2022-06-02,58.400002,62.000000,58.000000,60.000000,57.681538,2602
2022-06-03,60.900002,66.500000,60.900002,64.800003,62.296062,17164
2022-06-06,62.799999,62.799999,58.000000,59.900002,57.585403,8951
2022-06-07,59.799999,63.900002,59.000000,62.200001,59.796532,7602
2022-06-08,61.500000,67.699997,61.500000,63.799999,61.334702,11895
2022-06-09,64.099998,70.000000,60.200001,61.500000,59.123577,16691
2022-06-10,61.000000,63.000000,55.099998,58.200001,55.951092,13124
2022-06-13,55.700001,57.000000,52.400002,54.799999,53.603493,4181
2022-06-14,54.900002,55.000000,50.000000,53.500000,52.331879,10349
2022-06-15,53.000000,54.500000,50.099998,53.900002,52.723145,3632
2022-06-16,50.000000,53.200001,45.000000,46.799999,45.778164,11984
2022-06-17,46.400002,47.200001,43.200001,45.599998,44.604366,7964
2022-06-21,45.500000,47.799999,45.000000,46.799999,45.778164,4262
2022-06-22,46.000000,47.000000,45.000000,45.099998,44.115280,3145
2022-06-23,46.400002,47.000000,42.500000,44.299999,43.332748,2910
2022-06-24,45.599998,48.000000,44.599998,46.099998,45.093449,3462
2022-06-27,46.099998,48.500000,45.500000,48.000000,46.951965,1785
2022-06-28,48.000000,49.099998,46.200001,47.099998,46.071613,1536
2022-06-29,47.400002,51.000000,46.200001,49.000000,47.930130,2381
2022-06-30,48.000000,50.000000,47.200001,48.099998,47.049778,493
2022-07-01,49.700001,51.099998,47.000000,47.099998,46.071613,804
2022-07-05,47.000000,50.000000,42.599998,46.000000,44.995632,3054
2022-07-06,44.599998,46.000000,44.000000,44.799999,43.821835,1014
2022-07-07,46.200001,57.500000,46.200001,46.900002,45.875984,60604
2022-07-08,47.799999,48.500000,46.200001,48.500000,47.441048,6442
2022-07-11,47.799999,49.000000,46.500000,47.500000,46.462883,2078
2022-07-12,47.000000,47.799999,43.000000,43.599998,42.648033,7509
2022-07-13,44.000000,45.000000,42.500000,42.700001,41.767685,2826
2022-07-14,44.000000,45.000000,41.500000,41.500000,40.593887,3035
2022-07-15,43.500000,53.000000,42.000000,43.799999,42.843666,42753
2022-07-18,44.099998,45.000000,42.200001,42.700001,41.767685,6213
2022-07-19,42.299999,44.000000,42.299999,44.000000,43.039299,5327
2022-07-20,45.000000,45.000000,42.000000,42.000000,41.082970,5845
2022-07-21,42.400002,43.400002,41.000000,41.599998,40.691700,5304
2022-07-22,41.000000,42.500000,41.000000,41.599998,40.691700,2158
2022-07-25,40.000000,43.000000,40.000000,41.900002,40.985153,4532
2022-07-26,41.000000,42.000000,40.200001,40.900002,40.006989,1883
2022-07-27,41.000000,43.000000,40.799999,42.599998,41.669868,1530
2022-07-28,43.000000,45.000000,41.099998,41.099998,40.202618,5073
2022-07-29,42.200001,43.000000,41.099998,42.000000,41.082970,2068
2022-08-01,42.000000,45.500000,42.000000,44.000000,43.039299,6555
2022-08-02,45.000000,46.000000,43.099998,44.799999,43.821835,4558
2022-08-03,45.000000,46.000000,44.000000,45.299999,44.310917,2359
2022-08-04,45.000000,47.000000,44.099998,46.099998,45.093449,4600
2022-08-05,45.000000,46.799999,43.099998,44.000000,43.039299,2163
2022-08-08,45.000000,46.000000,41.900002,44.400002,43.430569,3587
2022-08-09,45.799999,46.000000,43.000000,45.000000,44.017467,3296
2022-08-10,44.900002,47.299999,43.700001,45.799999,44.799999,5676
2022-08-11,48.000000,48.000000,45.000000,46.200001,46.200001,3908
2022-08-12,47.000000,47.000000,45.299999,46.599998,46.599998,1156
2022-08-15,46.000000,47.000000,45.000000,45.099998,45.099998,1608
2022-08-16,45.000000,45.700001,43.000000,45.000000,45.000000,3592
2022-08-17,45.000000,45.000000,43.000000,43.500000,43.500000,1068
2022-08-18,44.000000,44.700001,43.500000,43.900002,43.900002,1312
2022-08-19,43.500000,44.000000,43.000000,43.500000,43.500000,1022
2022-08-22,43.000000,44.500000,41.599998,42.000000,42.000000,1802
2022-08-23,43.599998,44.000000,41.299999,42.200001,42.200001,1209
2022-08-24,44.000000,44.000000,41.299999,42.099998,42.099998,1602
2022-08-25,42.200001,43.799999,41.200001,41.799999,41.799999,1010
2022-08-26,42.099998,45.900002,41.200001,43.299999,43.299999,10439
2022-08-29,42.000000,42.200001,40.000000,40.500000,40.500000,3121
2022-08-30,41.799999,41.900002,40.000000,40.599998,40.599998,1666
2022-08-31,40.700001,43.000000,40.099998,42.000000,42.000000,1625
2022-09-01,40.599998,43.000000,40.099998,40.299999,40.299999,1599
2022-09-02,42.000000,42.000000,40.000000,41.000000,41.000000,1514
2022-09-06,42.000000,42.000000,40.000000,40.900002,40.900002,1179
2022-09-07,40.200001,42.000000,40.000000,40.500000,40.500000,1161
2022-09-08,40.900002,42.000000,40.000000,40.599998,40.599998,1448
2022-09-09,40.000000,41.500000,40.000000,40.400002,40.400002,2087
