Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,5.610000,5.820000,5.600000,5.800000,5.800000,2484900
2022-04-06,5.600000,5.685000,5.475000,5.520000,5.520000,1688800
2022-04-07,5.530000,5.560000,5.240000,5.400000,5.400000,1600500
2022-04-08,5.350000,5.370000,5.150000,5.250000,5.250000,1107600
2022-04-11,5.160000,5.320000,5.020000,5.030000,5.030000,1709400
2022-04-12,5.090000,5.230000,5.015000,5.060000,5.060000,1585200
2022-04-13,5.050000,5.610000,5.050000,5.580000,5.580000,1867800
2022-04-14,5.570000,5.850000,5.570000,5.720000,5.720000,2445700
2022-04-18,5.700000,5.740000,5.200000,5.290000,5.290000,2426400
2022-04-19,5.310000,5.750000,5.230000,5.670000,5.670000,1352200
2022-04-20,5.670000,5.765000,5.430000,5.630000,5.630000,1332800
2022-04-21,5.650000,5.840000,5.315000,5.330000,5.330000,1832800
2022-04-22,5.350000,5.480000,5.220000,5.270000,5.270000,1228800
2022-04-25,5.270000,5.490000,5.170000,5.450000,5.450000,1188900
2022-04-26,5.430000,5.450000,5.053000,5.070000,5.070000,1370600
2022-04-27,5.120000,5.290000,5.065000,5.130000,5.130000,1188500
2022-04-28,5.190000,5.340000,4.932000,5.290000,5.290000,1503200
2022-04-29,5.280000,5.380000,5.025000,5.030000,5.030000,1078000
2022-05-02,5.010000,5.035000,4.810000,4.990000,4.990000,1677400
2022-05-03,4.970000,5.035000,4.725000,4.800000,4.800000,1647300
2022-05-04,4.820000,5.080000,4.690000,5.060000,5.060000,2054800
2022-05-05,5.040000,5.050000,4.700000,4.760000,4.760000,1542700
2022-05-06,4.740000,4.770000,4.460000,4.710000,4.710000,2078200
2022-05-09,4.580000,4.620000,4.150000,4.160000,4.160000,2072300
2022-05-10,4.330000,4.370000,3.701000,3.970000,3.970000,3886400
2022-05-11,3.900000,4.260000,3.820000,3.870000,3.870000,1793000
2022-05-12,3.870000,4.285000,3.765000,4.240000,4.240000,2672600
2022-05-13,4.370000,4.810000,4.370000,4.610000,4.610000,2284000
2022-05-16,4.600000,4.820000,4.450000,4.560000,4.560000,1720800
2022-05-17,4.680000,4.900000,4.637000,4.890000,4.890000,1296700
2022-05-18,4.800000,5.029000,4.705000,4.780000,4.780000,1333400
2022-05-19,4.720000,5.180000,4.720000,5.070000,5.070000,1952700
2022-05-20,5.110000,5.195000,4.870000,5.050000,5.050000,1406000
2022-05-23,5.060000,5.235000,4.945000,5.120000,5.120000,1233900
2022-05-24,5.030000,5.170000,4.910000,5.020000,5.020000,1205100
2022-05-25,4.950000,5.860000,4.950000,5.730000,5.730000,8101900
2022-05-26,5.750000,6.150000,5.640000,5.970000,5.970000,3859800
2022-05-27,6.000000,6.845000,6.000000,6.500000,6.500000,4403300
2022-05-31,6.390000,6.455000,5.830000,6.080000,6.080000,5365100
2022-06-01,6.110000,6.170000,5.710000,5.940000,5.940000,2702900
2022-06-02,5.940000,6.295000,5.870000,6.110000,6.110000,2674200
2022-06-03,5.990000,6.020000,5.720000,5.830000,5.830000,2470500
2022-06-06,6.090000,6.240000,5.874000,6.010000,6.010000,3538900
2022-06-07,5.900000,6.030000,5.540000,5.750000,5.750000,2907400
2022-06-08,5.670000,6.015000,5.650000,5.900000,5.900000,1716100
2022-06-09,5.810000,5.840000,5.380000,5.390000,5.390000,1871900
2022-06-10,5.250000,5.390000,5.110000,5.130000,5.130000,1691200
2022-06-13,4.930000,5.196000,4.860000,5.120000,5.120000,3479800
2022-06-14,5.160000,5.320000,4.980000,5.150000,5.150000,3253500
2022-06-15,4.760000,5.090000,4.010000,4.560000,4.560000,12148400
2022-06-16,4.400000,4.855000,4.400000,4.630000,4.630000,7109700
2022-06-17,4.560000,5.160000,4.542000,5.100000,5.100000,9269700
2022-06-21,5.160000,5.390000,4.920000,4.980000,4.980000,4708800
2022-06-22,4.940000,5.200000,4.800000,4.870000,4.870000,4055700
2022-06-23,4.890000,5.120000,4.800000,4.970000,4.970000,3479200
2022-06-24,5.060000,5.105000,4.685000,4.800000,4.800000,21372600
2022-06-27,4.860000,4.930000,4.710000,4.870000,4.870000,4035200
2022-06-28,4.870000,5.025000,4.510000,4.520000,4.520000,3611200
2022-06-29,4.550000,4.610000,4.290000,4.420000,4.420000,3042100
2022-06-30,4.290000,4.370000,4.170000,4.330000,4.330000,3260100
2022-07-01,4.350000,4.460000,4.215000,4.390000,4.390000,2152700
2022-07-05,4.300000,4.610000,4.129000,4.610000,4.610000,3435900
2022-07-06,4.570000,4.760000,4.550000,4.720000,4.720000,2240700
2022-07-07,4.760000,5.000000,4.730000,4.790000,4.790000,2466000
2022-07-08,4.730000,4.898000,4.660000,4.840000,4.840000,1597900
2022-07-11,4.790000,4.948000,4.530000,4.530000,4.530000,1517900
2022-07-12,4.580000,4.680000,4.415000,4.520000,4.520000,2031400
2022-07-13,4.460000,4.660000,4.340000,4.570000,4.570000,2013800
2022-07-14,4.490000,4.600000,4.400000,4.560000,4.560000,1204200
2022-07-15,4.670000,4.720000,4.360000,4.630000,4.630000,2317600
2022-07-18,4.690000,4.860000,4.660000,4.680000,4.680000,1716200
2022-07-19,4.790000,4.930000,4.730000,4.920000,4.920000,1704800
2022-07-20,4.940000,5.210000,4.910000,5.100000,5.100000,2783900
2022-07-21,5.100000,5.280000,4.990000,5.280000,5.280000,2372500
2022-07-22,5.280000,5.289000,4.930000,4.950000,4.950000,1825700
2022-07-25,4.920000,5.020000,4.765000,4.930000,4.930000,1229500
2022-07-26,4.910000,5.090000,4.810000,5.020000,5.020000,1394900
2022-07-27,5.000000,5.150000,4.960000,5.140000,5.140000,1312400
