Date,Open,High,Low,Close,Adj Close,Volume
2022-04-06,77.260002,77.860001,75.199997,76.120003,74.693108,1404600
2022-04-07,76.389999,76.769997,73.309998,75.099998,73.692223,1280200
2022-04-08,75.279999,77.110001,74.639999,74.980003,73.574486,988900
2022-04-11,74.440002,78.180000,74.379997,76.440002,75.007111,1062400
2022-04-12,76.449997,78.370003,74.669998,75.279999,73.868851,586800
2022-04-13,74.389999,76.839996,74.160004,76.750000,75.311310,571300
2022-04-14,76.580002,77.089996,75.220001,75.660004,74.241730,817500
2022-04-18,75.099998,75.820000,74.070000,74.860001,73.456726,1032600
2022-04-19,75.800003,78.889999,75.160004,78.660004,77.185501,1258600
2022-04-20,79.570000,81.250000,78.699997,78.760002,77.283623,999800
2022-04-21,79.699997,79.989998,75.300003,76.199997,74.771606,1080800
2022-04-22,74.559998,79.860001,73.580002,78.029999,76.567299,2441200
2022-04-25,77.900002,80.680000,77.110001,80.199997,78.696632,1118600
2022-04-26,78.739998,79.930000,76.389999,76.389999,74.958054,1264400
2022-04-27,75.800003,78.510002,75.779999,76.980003,75.536995,1015800
2022-04-28,78.059998,78.980003,76.410004,78.690002,77.214935,821800
2022-04-29,79.040001,79.529999,75.739998,76.110001,74.683296,744700
2022-05-02,78.309998,78.309998,75.610001,77.820000,76.361237,904800
2022-05-03,78.199997,80.349998,77.660004,79.690002,78.196190,692800
2022-05-04,79.360001,83.389999,79.180000,83.129997,81.571693,826600
2022-05-05,81.550003,81.800003,78.489998,80.250000,78.745689,622200
2022-05-06,80.139999,80.139999,77.150002,78.540001,77.067741,577400
2022-05-09,77.250000,78.139999,75.639999,76.139999,74.712730,641600
2022-05-10,76.830002,77.279999,73.080002,75.349998,73.937531,540600
2022-05-11,76.040001,77.419998,73.180000,73.279999,71.906342,597800
2022-05-12,72.260002,74.250000,71.680000,74.139999,73.099350,962500
2022-05-13,75.279999,77.360001,75.139999,76.070000,75.002274,500600
2022-05-16,76.150002,76.150002,73.430000,73.870003,72.833153,420600
2022-05-17,76.139999,77.669998,75.690002,77.309998,76.224861,486200
2022-05-18,76.089996,76.660004,73.879997,74.230003,73.188095,469700
2022-05-19,73.309998,75.540001,72.959999,74.349998,73.306412,602600
2022-05-20,75.010002,75.639999,72.059998,74.449997,73.405006,542700
2022-05-23,76.150002,77.639999,74.769997,76.690002,75.613564,838200
2022-05-24,75.739998,75.940002,73.169998,75.610001,74.548721,831200
2022-05-25,74.690002,78.720001,74.690002,78.029999,76.934753,576000
2022-05-26,78.699997,81.330002,78.699997,80.860001,79.725037,746900
2022-05-27,80.980003,82.320000,80.279999,82.099998,80.947632,779200
2022-05-31,82.010002,82.169998,79.930000,81.370003,80.227882,603900
2022-06-01,81.790001,82.099998,78.379997,79.599998,78.482719,442300
