Date,Open,High,Low,Close,Adj Close,Volume,,,
4/6/2020,2.5,2.97,2.4,2.88,2.88,6912000,-0.26,0.817635943,0.789076605
4/7/2020,3.17,3.73,3.05,3.14,3.14,8977100,-0.16,1.036193366,
4/8/2020,3.05,3.32,2.8,3.3,3.3,7997600,0.7,,
4/9/2020,3.3,3.3,2.58,2.6,2.6,13981200,0.52,,
4/13/2020,2.34,2.36,1.95,2.08,2.08,19784100,-0.1,,
4/14/2020,2.21,2.37,2.14,2.18,2.18,11747900,-0.23,,
4/15/2020,2.15,2.46,2.02,2.41,2.41,11378000,-0.03,,
4/16/2020,2.35,2.49,2.15,2.44,2.44,6290800,-0.76,,
4/17/2020,3.85,3.85,3.05,3.2,3.2,26799900,0.02,,
4/20/2020,3.22,3.44,3.06,3.18,3.18,10787200,-0.07,,
4/21/2020,3.2,3.38,3.15,3.25,3.25,5788400,0.07,,
4/22/2020,3.39,3.39,3.16,3.18,3.18,4568600,0.07,,
4/23/2020,3.2,3.25,3.08,3.11,3.11,4318800,0.06,,
4/24/2020,3.14,3.2,3.02,3.05,3.05,3623700,-0.31,,
4/27/2020,3.19,3.4,3.06,3.36,3.36,5667200,-0.78,,
4/28/2020,3.82,4.75,3.5,4.14,4.14,21601100,-1.05,,
4/29/2020,4.54,5.53,4.47,5.19,5.19,27162400,0.27,,
4/30/2020,5.01,5.09,4.5,4.92,4.92,11235600,0.35,,
5/1/2020,4.62,4.7,4.3,4.57,4.57,6746800,0.27,,
5/4/2020,4.11,4.78,4,4.3,4.3,5601400,0.41,,
5/5/2020,4.67,4.69,3.81,3.89,3.89,7504500,-0.03,,
5/6/2020,4.08,4.1,3.83,3.92,3.92,3105700,-0.07,,
5/7/2020,4.01,4.18,3.95,3.99,3.99,4105800,-0.11,,
5/8/2020,4.14,4.22,4.04,4.1,4.1,3571200,-1.22,,
5/11/2020,6.4,6.41,4.89,5.32,5.32,106553300,0.2,,
5/12/2020,5.77,5.84,4.91,5.12,5.12,19681900,0.52,,
5/13/2020,5.02,5.03,4.51,4.6,4.6,10433400,0.05,,
5/14/2020,4.25,4.65,4.08,4.55,4.55,5920500,0.03,,
5/15/2020,4.47,4.62,4.44,4.52,4.52,3483200,-0.2,,
5/18/2020,4.8,4.93,4.63,4.72,4.72,6036900,0.16,,
5/19/2020,4.82,4.98,4.5,4.56,4.56,4929800,-0.1,,
5/20/2020,4.69,4.75,4.59,4.66,4.66,3489500,0.03,,
5/21/2020,4.68,4.79,4.55,4.63,4.63,4555000,0.05,,
5/22/2020,4.66,4.68,4.56,4.58,4.58,2408800,-0.53,,
5/26/2020,4.8,5.14,4.7,5.11,5.11,8864100,-0.49,,
5/27/2020,5.48,5.65,5.11,5.6,5.6,7862400,0.53,,
5/28/2020,5.65,5.68,5.02,5.07,5.07,6590200,-0.06,,
5/29/2020,5,5.38,4.83,5.13,5.13,5153000,-0.18,,
6/1/2020,5.03,5.37,5.02,5.31,5.31,3913100,-0.28,,
6/2/2020,5.35,5.65,5.33,5.59,5.59,6877800,0.14,,
6/3/2020,5.27,5.99,5.09,5.45,5.45,15353700,0.07,,
6/4/2020,5.17,5.4,5,5.38,5.38,8572600,-0.53,,
6/5/2020,5.78,6.15,5.64,5.91,5.91,9240900,-0.54,,
6/8/2020,6.27,6.84,6.17,6.45,6.45,8587100,0.46,,
6/9/2020,6.1,6.19,5.56,5.99,5.99,7394300,-0.3,,
6/10/2020,7.3,7.35,6.28,6.29,6.29,15322600,1.12,,
6/11/2020,5.53,5.65,5,5.17,5.17,9179400,-0.72,,
6/12/2020,5.69,5.93,5.22,5.89,5.89,7352900,0.09,,
6/15/2020,5.42,5.93,5.3,5.8,5.8,5541400,0.24,,
6/16/2020,6.02,6.06,5.5,5.56,5.56,5911900,0.14,,
6/17/2020,5.41,5.63,5.31,5.42,5.42,3030800,-0.21,,
6/18/2020,5.35,5.72,5.34,5.63,5.63,5619700,0.11,,
6/19/2020,6.2,6.25,5.46,5.52,5.52,13137400,0.19,,
6/22/2020,5.48,5.48,5.21,5.33,5.33,4412800,0.23,,
6/23/2020,5.37,5.4,5.04,5.1,5.1,5699300,0.31,,
6/24/2020,4.99,5.12,4.51,4.79,4.79,8104100,0.52,,
6/25/2020,4.57,4.59,4.17,4.27,4.27,8251400,0.09,,
6/26/2020,4.26,4.69,4.15,4.18,4.18,5601000,-0.24,,
6/29/2020,3.91,4.44,3.75,4.42,4.42,9321600,0.13,,
6/30/2020,4.34,4.36,4.21,4.29,4.29,3653400,-0.28,,
7/1/2020,4.26,4.6,4.26,4.57,4.57,4914500,0.04,,
7/2/2020,4.69,4.69,4.47,4.53,4.53,3908400,0.25,,
7/6/2020,4.62,4.64,4.13,4.28,4.28,5489700,0.15,,
7/7/2020,4.18,4.29,4.08,4.13,4.13,2667600,-0.3,,
7/8/2020,4.49,4.52,4.2,4.43,4.43,5586800,-0.14,,
7/9/2020,4.48,4.6,4.18,4.57,4.57,4225700,-0.03,,
7/10/2020,4.39,4.6,4.38,4.6,4.6,3306100,0.34,,
7/13/2020,4.76,4.82,4.25,4.26,4.26,4464800,0.04,,
7/14/2020,4.25,4.27,4.1,4.22,4.22,3291400,-0.28,,
7/15/2020,4.37,4.58,4.22,4.5,4.5,4830700,0.12,,
7/16/2020,4.33,4.48,4.31,4.38,4.38,1997500,0.11,,
7/17/2020,4.36,4.37,4.2,4.27,4.27,2101700,0.12,,
7/20/2020,4.21,4.23,4.07,4.15,4.15,2393100,0,,
7/21/2020,4.15,4.24,4.08,4.15,4.15,1925900,0.12,,
7/22/2020,4.1,4.17,4,4.03,4.03,2798800,-0.03,,
7/23/2020,4.08,4.18,4,4.06,4.06,3614300,0.06,,
7/24/2020,4,4.18,3.96,4,4,3282400,0.13,,
7/27/2020,4.01,4.03,3.81,3.87,3.87,2980500,-0.28,,
7/28/2020,3.85,4.25,3.84,4.15,4.15,6226600,-0.01,,
7/29/2020,4.07,4.2,3.95,4.16,4.16,5489400,0.04,,
7/30/2020,4.12,4.34,4.06,4.12,4.12,3699100,0.08,,
7/31/2020,4.08,4.15,3.95,4.04,4.04,2584900,-0.07,,
8/3/2020,4.05,4.2,3.86,4.11,4.11,4047100,0.01,,
8/4/2020,4.07,4.24,4.06,4.1,4.1,3267800,-0.05,,
8/5/2020,4.08,4.17,4.07,4.15,4.15,1691500,0.01,,
8/6/2020,4.11,4.24,3.99,4.14,4.14,3742600,-0.61,,
8/7/2020,4.14,5.26,4.09,4.75,4.75,24917400,0.28,,
8/10/2020,4.65,4.74,4.35,4.47,4.47,5048200,-0.09,,
8/11/2020,4.7,4.85,4.54,4.56,4.56,5794800,-0.08,,
8/12/2020,4.62,4.76,4.56,4.64,4.64,2457900,-0.67,,
8/13/2020,5.1,5.77,4.82,5.31,5.31,23259200,-0.23,,
8/14/2020,5.56,5.63,5.05,5.54,5.54,12055800,-0.06,,
8/17/2020,5.72,5.85,5.43,5.6,5.6,7159200,0.25,,
8/18/2020,5.57,5.57,5.13,5.35,5.35,5790700,-0.04,,
8/19/2020,5.34,5.47,5.18,5.39,5.39,5728300,-0.3,,
8/20/2020,5.57,5.78,5.3,5.69,5.69,13728400,0.5,,
8/21/2020,5.68,5.68,5.18,5.19,5.19,8216900,-0.22,,
8/24/2020,5.35,5.45,4.94,5.41,5.41,8498200,-0.13,,
8/25/2020,5.46,5.58,5.21,5.54,5.54,5296900,-0.06,,
8/26/2020,5.45,5.67,5.33,5.6,5.6,4419400,-0.92,,
8/27/2020,5.81,7.1,5.7,6.52,6.52,31921200,0.22,,
8/28/2020,6.49,6.54,6.11,6.3,6.3,9882700,0.42,,
